"Lang","To","From","ToExposed","PairDirFound","Token","IndexExists","HasRelated","RelatedCount","HasExplainer","HasTitle","HasH1"
"ar","docx","webp","True","True","to","True","False","0","False","True","True"
"ar","docx","xlsx","True","True","to","True","False","0","False","True","True"
"ar","docx","zip","True","True","to","True","False","0","False","True","True"
"ar","flac","7z","True","True","to","True","False","0","False","True","True"
"ar","flac","aac","True","True","to","True","False","0","False","True","True"
"ar","flac","aiff","True","True","to","True","False","0","False","True","True"
"ar","flac","bmp","True","True","to","True","False","0","False","True","True"
"ar","flac","csv","True","True","to","True","False","0","False","True","True"
"ar","flac","docx","True","True","to","True","False","0","False","True","True"
"ar","flac","gif","True","True","to","True","False","0","False","True","True"
"ar","flac","html","True","True","to","True","False","0","False","True","True"
"ar","flac","jpeg","True","True","to","True","False","0","False","True","True"
"ar","flac","jpg","True","True","to","True","False","0","False","True","True"
"ar","flac","json","True","True","to","True","False","0","False","True","True"
"ar","flac","jsonl","True","True","to","True","False","0","False","True","True"
"ar","flac","m4a","True","True","to","True","False","0","False","True","True"
"ar","flac","m4v","True","True","to","True","False","0","False","True","True"
"ar","flac","md","True","True","to","True","False","0","False","True","True"
"ar","flac","mkv","True","True","to","True","False","0","False","True","True"
"ar","flac","mov","True","True","to","True","False","0","False","True","True"
"ar","flac","mp3","True","True","to","True","False","0","False","True","True"
"ar","flac","mp4","True","True","to","True","False","0","False","True","True"
"ar","flac","ogg","True","True","to","True","False","0","False","True","True"
"ar","flac","opus","True","True","to","True","False","0","False","True","True"
"ar","flac","pdf","True","True","to","True","False","0","False","True","True"
"ar","flac","png","True","True","to","True","False","0","False","True","True"
"ar","flac","pptx","True","True","to","True","False","0","False","True","True"
"ar","flac","rar","True","True","to","True","False","0","False","True","True"
"ar","flac","rtf","True","True","to","True","False","0","False","True","True"
"ar","flac","svg","True","True","to","True","False","0","False","True","True"
"ar","flac","tar","True","True","to","True","False","0","False","True","True"
"ar","flac","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","flac","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","flac","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","flac","tbz","True","True","to","True","False","0","False","True","True"
"ar","flac","tgz","True","True","to","True","False","0","False","True","True"
"ar","flac","tiff","True","True","to","True","False","0","False","True","True"
"ar","flac","tsv","True","True","to","True","False","0","False","True","True"
"ar","flac","txt","True","True","to","True","False","0","False","True","True"
"ar","flac","txz","True","True","to","True","False","0","False","True","True"
"ar","flac","wav","True","True","to","True","False","0","False","True","True"
"ar","flac","webm","True","True","to","True","False","0","False","True","True"
"ar","flac","webp","True","True","to","True","False","0","False","True","True"
"ar","flac","xlsx","True","True","to","True","False","0","False","True","True"
"ar","flac","zip","True","True","to","True","False","0","False","True","True"
"ar","gif","7z","True","True","to","True","False","0","False","True","True"
"ar","gif","aac","True","True","to","True","False","0","False","True","True"
"ar","gif","aiff","True","True","to","True","False","0","False","True","True"
"ar","gif","bmp","True","True","to","True","False","0","False","True","True"
"ar","gif","csv","True","True","to","True","False","0","False","True","True"
"ar","gif","docx","True","True","to","True","False","0","False","True","True"
"ar","gif","flac","True","True","to","True","False","0","False","True","True"
"ar","gif","html","True","True","to","True","False","0","False","True","True"
"ar","gif","jpeg","True","True","to","True","False","0","False","True","True"
"ar","gif","jpg","True","True","to","True","False","0","False","True","True"
"ar","gif","json","True","True","to","True","False","0","False","True","True"
"ar","gif","jsonl","True","True","to","True","False","0","False","True","True"
"ar","gif","m4a","True","True","to","True","False","0","False","True","True"
"ar","gif","m4v","True","True","to","True","False","0","False","True","True"
"ar","gif","md","True","True","to","True","False","0","False","True","True"
"ar","gif","mkv","True","True","to","True","False","0","False","True","True"
"ar","gif","mov","True","True","to","True","False","0","False","True","True"
"ar","gif","mp3","True","True","to","True","False","0","False","True","True"
"ar","gif","mp4","True","True","to","True","False","0","False","True","True"
"ar","gif","ogg","True","True","to","True","False","0","False","True","True"
"ar","gif","opus","True","True","to","True","False","0","False","True","True"
"ar","gif","pdf","True","True","to","True","False","0","False","True","True"
"ar","gif","png","True","True","to","True","False","0","False","True","True"
"ar","gif","pptx","True","True","to","True","False","0","False","True","True"
"ar","gif","rar","True","True","to","True","False","0","False","True","True"
"ar","gif","rtf","True","True","to","True","False","0","False","True","True"
"ar","gif","svg","True","True","to","True","False","0","False","True","True"
"ar","gif","tar","True","True","to","True","False","0","False","True","True"
"ar","gif","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","gif","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","gif","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","gif","tbz","True","True","to","True","False","0","False","True","True"
"ar","gif","tgz","True","True","to","True","False","0","False","True","True"
"ar","gif","tiff","True","True","to","True","False","0","False","True","True"
"ar","gif","tsv","True","True","to","True","False","0","False","True","True"
"ar","gif","txt","True","True","to","True","False","0","False","True","True"
"ar","gif","txz","True","True","to","True","False","0","False","True","True"
"ar","gif","wav","True","True","to","True","False","0","False","True","True"
"ar","gif","webm","True","True","to","True","False","0","False","True","True"
"ar","gif","webp","True","True","to","True","False","0","False","True","True"
"ar","gif","xlsx","True","True","to","True","False","0","False","True","True"
"ar","gif","zip","True","True","to","True","False","0","False","True","True"
"ar","html","7z","True","True","to","True","False","0","False","True","True"
"ar","html","aac","True","True","to","True","False","0","False","True","True"
"ar","html","aiff","True","True","to","True","False","0","False","True","True"
"ar","html","bmp","True","True","to","True","False","0","False","True","True"
"ar","html","csv","True","True","to","True","False","0","False","True","True"
"ar","html","docx","True","True","to","True","False","0","False","True","True"
"ar","html","flac","True","True","to","True","False","0","False","True","True"
"ar","html","gif","True","True","to","True","False","0","False","True","True"
"ar","html","jpeg","True","True","to","True","False","0","False","True","True"
"ar","html","jpg","True","True","to","True","False","0","False","True","True"
"ar","html","json","True","True","to","True","False","0","False","True","True"
"ar","html","jsonl","True","True","to","True","False","0","False","True","True"
"ar","html","m4a","True","True","to","True","False","0","False","True","True"
"ar","html","m4v","True","True","to","True","False","0","False","True","True"
"ar","html","md","True","True","to","True","False","0","False","True","True"
"ar","html","mkv","True","True","to","True","False","0","False","True","True"
"ar","html","mov","True","True","to","True","False","0","False","True","True"
"ar","html","mp3","True","True","to","True","False","0","False","True","True"
"ar","html","mp4","True","True","to","True","False","0","False","True","True"
"ar","html","ogg","True","True","to","True","False","0","False","True","True"
"ar","html","opus","True","True","to","True","False","0","False","True","True"
"ar","html","pdf","True","True","to","True","False","0","False","True","True"
"ar","html","png","True","True","to","True","False","0","False","True","True"
"ar","html","pptx","True","True","to","True","False","0","False","True","True"
"ar","html","rar","True","True","to","True","False","0","False","True","True"
"ar","html","rtf","True","True","to","True","False","0","False","True","True"
"ar","html","svg","True","True","to","True","False","0","False","True","True"
"ar","html","tar","True","True","to","True","False","0","False","True","True"
"ar","html","tar.bz2","True","True","to","True","False","0","False","True","True"
"ar","html","tar.gz","True","True","to","True","False","0","False","True","True"
"ar","html","tar.xz","True","True","to","True","False","0","False","True","True"
"ar","html","tbz","True","True","to","True","False","0","False","True","True"
"ar","html","tgz","True","True","to","True","False","0","False","True","True"
