"Lang","Path","HasRelated","AnchorCount","BrokenTargets"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\m4v-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\md-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\mkv-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\mov-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\mp3-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\mp4-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\ogg-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\opus-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\pdf-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\png-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\pptx-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\rar-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\rtf-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\svg-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tar-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tar.bz2-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tar.gz-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tar.xz-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tbz-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tgz-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tiff-a-aiff\index.html","True","41","0"
"es","C:\Users\Sipka\Desktop\Converter\languages\es\convertir\aiff\tsv-a-aiff\index.html","True","41","0"
